model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup
210,Juan Brito,Cincinnati Reds,Milwaukee Brewers,Dustin May,6,American Family Field,88.0,3.0,Weak,4.3,7.2,2.5,7.2,5.0,6.7,5.0,73.22,9.5069763,146.0,9.3,5.5,1.2,2.7,Recent power + Pitch-type matchup,True
211,Nick Madrigal,Tampa Bay Rays,Houston Astros,Miguel Ullola,6,Tropicana Field,107.0,3.0,Weak,2.0,1.5,9.5,1.5,5.8,6.5,5.0,81.5,2.8583065999999997,141.0,3.6,1.4,2.6,6.1,Pitcher vulnerability + Weather,True
212,Wyatt Langford,Texas Rangers,Arizona Diamondbacks,TBD,5,Chase Field,213.0,2.9,Weak,2.0,5.5,5.5,5.5,10.0,5.5,6.0,,,,6.8,1.8,9.2,6.4,Ballpark + Recent power,True
213,Turner Hill,San Francisco Giants,San Diego Padres,Robbie Ray,2,Oracle Park,139.0,2.9,Weak,5.5,1.5,2.9,1.5,7.3,6.2,9.0,66.02,15.6585492,280.0,3.6,3.6,7.1,5.6,Lineup context + Ballpark,True
214,James McCann,Arizona Diamondbacks,Texas Rangers,TBD,7,Chase Field,213.0,2.9,Weak,2.0,5.5,5.5,5.5,10.0,5.5,4.0,,,,8.4,5.9,4.4,4.4,Ballpark + Recent power,True
215,Austin Riley,Atlanta Braves,Philadelphia Phillies,Aaron Nola,7,Truist Park,100.0,2.8,Weak,2.0,2.4,8.2,2.4,5.5,6.7,4.0,81.14,9.4448392,176.0,8.6,6.3,2.9,4.6,Recent power + Pitcher vulnerability,True
216,Cooper Pratt,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,9,American Family Field,88.0,2.8,Weak,3.8,5.2,5.9,5.2,5.0,6.7,2.0,73.22,9.5069763,146.0,3.6,2.5,2.0,2.1,Weather + Pitcher vulnerability,True
217,Carson Benge,New York Mets,New York Yankees,Carlos Rodón,4,Yankee Stadium,117.0,2.8,Weak,2.0,7.8,4.2,7.8,6.3,6.5,7.0,76.28,4.6602825,325.0,3.6,3.1,2.5,2.6,Pitch-type matchup + Lineup context,True
218,Alec Bohm,Philadelphia Phillies,Atlanta Braves,Chris Sale,5,Truist Park,100.0,2.7,Weak,5.2,5.9,1.2,5.9,5.5,6.7,6.0,81.14,9.4448392,176.0,8.1,7.8,7.6,4.5,Recent power + Weather,True
219,Michael Massey,Kansas City Royals,Boston Red Sox,Sonny Gray,5,Fenway Park,92.0,2.7,Weak,4.8,4.2,4.5,4.2,5.1,6.6,6.0,71.78,5.2195164,295.0,3.6,4.7,8.1,7.8,Weather + Lineup context,True
220,Brandon Nimmo,Texas Rangers,Arizona Diamondbacks,TBD,4,Chase Field,213.0,2.7,Weak,2.0,5.5,5.5,5.5,10.0,5.5,7.0,,,,3.6,5.1,8.4,8.7,Ballpark + Lineup context,True
221,Mauricio Dubón,Atlanta Braves,Philadelphia Phillies,Aaron Nola,5,Truist Park,100.0,2.6,Weak,2.0,2.7,8.2,2.7,5.5,6.7,6.0,81.14,9.4448392,176.0,3.6,4.4,5.0,1.8,Pitcher vulnerability + Weather,True
222,Pete Alonso,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,2,Rogers Centre,69.0,2.6,Weak,1.4,9.5,5.5,9.5,4.1,5.9,9.0,66.74000000000001,4.7845567,101.0,7.2,8.8,8.9,9.7,Pitch-type matchup + Lineup context,True
223,Jake Rogers,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,9,Busch Stadium,70.0,2.6,Weak,2.8,5.6,7.9,5.6,4.2,5.5,2.0,,,,3.6,6.2,4.3,5.2,Pitcher vulnerability + Pitch-type matchup,True
224,Josh Naylor,Seattle Mariners,Athletics,Jeffrey Springs,6,Sutter Health Park,100.0,2.5,Poor,1.4,4.0,9.2,4.0,5.5,5.5,5.0,,,,3.6,1.4,5.5,1.7,Pitcher vulnerability + Ballpark,True
225,Nick Loftin,Kansas City Royals,Boston Red Sox,Sonny Gray,6,Fenway Park,92.0,2.5,Poor,4.5,3.9,4.5,3.9,5.1,6.6,5.0,71.78,5.2195164,295.0,3.6,3.2,1.7,4.4,Weather + Ballpark,True
226,Christian Koss,San Francisco Giants,San Diego Padres,Robbie Ray,9,Oracle Park,139.0,2.5,Poor,2.8,5.8,2.9,5.8,7.3,6.2,2.0,66.02,15.6585492,280.0,9.9,4.8,4.5,1.3,Recent power + Ballpark,True
227,Yordan Alvarez,Houston Astros,Tampa Bay Rays,Drew Rasmussen,2,Tropicana Field,107.0,2.4,Poor,2.0,9.4,1.9,9.4,5.8,6.5,9.0,81.5,2.8583065999999997,141.0,6.3,5.1,6.3,4.0,Pitch-type matchup + Lineup context,True
228,Trevor Larnach,Minnesota Twins,Cleveland Guardians,Parker Messick,6,Target Field,113.0,2.4,Poor,3.4,3.7,3.9,3.7,6.1,5.5,5.0,,,,8.9,6.0,7.7,8.5,Recent power + Ballpark,True
229,Iván Herrera,St. Louis Cardinals,Chicago White Sox,Anthony Kay,2,Busch Stadium,70.0,2.4,Poor,2.5,5.7,5.2,5.7,4.2,5.5,9.0,,,,9.0,3.2,4.1,5.1,Recent power + Lineup context,True
230,Brock Rodden,Seattle Mariners,Athletics,Jeffrey Springs,9,Sutter Health Park,100.0,2.3,Poor,2.5,1.5,9.2,1.5,5.5,5.5,2.0,,,,3.6,2.0,3.0,7.4,Pitcher vulnerability + Ballpark,True
231,Austin Wells,New York Yankees,New York Mets,Nolan McLean,8,Yankee Stadium,117.0,2.3,Poor,2.5,9.0,2.2,9.0,6.3,6.5,3.0,76.28,4.6602825,325.0,3.6,5.7,4.8,6.6,Pitch-type matchup + Weather,True
232,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,Chris Sale,1,Truist Park,100.0,2.3,Poor,2.0,8.9,1.2,8.9,5.5,6.7,10.0,81.14,9.4448392,176.0,10.0,7.6,5.0,8.3,Recent power + Lineup context,True
233,Jeremiah Jackson,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,7,Rogers Centre,69.0,2.2,Poor,4.0,4.7,5.5,4.7,4.1,5.9,4.0,66.74000000000001,4.7845567,101.0,3.6,8.7,6.5,3.1,Weather + Pitcher vulnerability,True
234,Carson Kelly,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,9,Wrigley Field,107.0,2.2,Poor,3.5,7.6,1.5,7.6,5.8,6.7,2.0,74.3,9.5069763,124.0,3.6,5.2,6.4,2.9,Pitch-type matchup + Weather,True
235,Ernie Clement,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,7,Rogers Centre,69.0,2.2,Poor,6.1,2.9,3.5,2.9,4.1,5.9,4.0,66.74000000000001,4.7845567,101.0,3.6,1.4,1.3,1.2,Hitter skill + Weather,True
236,Nicky Lopez,Texas Rangers,Arizona Diamondbacks,TBD,8,Chase Field,213.0,2.1,Poor,1.4,5.5,5.5,5.5,10.0,5.5,3.0,,,,3.6,1.4,2.2,1.2,Ballpark + Pitcher vulnerability,True
237,Nasim Nuñez,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,8,Nationals Park,105.0,2.1,Poor,1.1,2.1,8.9,2.1,5.7,6.5,3.0,78.25999999999999,3.7282260000000003,73.0,3.6,5.3,2.6,3.0,Pitcher vulnerability + Weather,True
238,Michael Busch,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,3,Wrigley Field,107.0,2.1,Poor,2.0,6.7,1.5,6.7,5.8,6.7,8.0,74.3,9.5069763,124.0,8.1,4.5,8.8,7.6,Recent power + Lineup context,True
239,Isaac Collins,Kansas City Royals,Boston Red Sox,Sonny Gray,9,Fenway Park,92.0,2.0,Poor,4.6,2.3,4.5,2.3,5.1,6.6,2.0,71.78,5.2195164,295.0,3.6,3.0,2.1,6.2,Weather + Ballpark,True
240,John Rave,Kansas City Royals,Boston Red Sox,Sonny Gray,7,Fenway Park,92.0,2.0,Poor,1.4,7.0,4.5,7.0,5.1,6.6,4.0,71.78,5.2195164,295.0,9.5,3.6,2.1,3.3,Recent power + Pitch-type matchup,True
241,Chase Meidroth,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,7,Busch Stadium,70.0,2.0,Poor,2.7,2.5,7.9,2.5,4.2,5.5,4.0,,,,3.6,2.8,3.0,4.8,Pitcher vulnerability + Weather,True
242,Christian Moore,Los Angeles Angels,Washington Nationals,Cade Cavalli,5,Nationals Park,105.0,1.9,Poor,2.0,1.5,6.9,1.5,5.7,6.5,6.0,78.25999999999999,3.7282260000000003,73.0,3.6,3.4,9.3,5.6,Pitcher vulnerability + Weather,True
243,Garrett Mitchell,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,8,American Family Field,88.0,1.9,Poor,2.0,4.5,5.9,4.5,5.0,6.7,3.0,73.22,9.5069763,146.0,3.6,3.3,5.2,5.5,Weather + Pitcher vulnerability,True
244,Charles McAdoo,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,2,Rogers Centre,69.0,1.9,Poor,2.0,8.6,3.5,8.6,4.1,5.9,9.0,66.74000000000001,4.7845567,101.0,3.6,3.8,1.9,2.5,Lineup context + Pitch-type matchup,True
245,Héctor Rodríguez,Cincinnati Reds,Milwaukee Brewers,Dustin May,5,American Family Field,88.0,1.8,Poor,1.4,10.0,2.5,10.0,5.0,6.7,6.0,73.22,9.5069763,146.0,3.6,7.0,7.3,8.6,Pitch-type matchup + Weather,True
246,Andrés Giménez,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,6,Rogers Centre,69.0,1.8,Poor,3.4,4.7,3.5,4.7,4.1,5.9,5.0,66.74000000000001,4.7845567,101.0,7.7,4.6,5.3,1.9,Recent power + Weather,True
247,Kazuma Okamoto,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,5,Rogers Centre,69.0,1.8,Poor,1.4,8.3,3.5,8.3,4.1,5.9,6.0,66.74000000000001,4.7845567,101.0,9.3,9.1,7.0,9.1,Recent power + Pitch-type matchup,True
248,José Fermín,St. Louis Cardinals,Chicago White Sox,Anthony Kay,9,Busch Stadium,70.0,1.7,Poor,3.9,2.9,5.2,2.9,4.2,5.5,2.0,,,,3.6,3.1,5.4,6.7,Weather + Pitcher vulnerability,True
249,Carlos Narváez,Baltimore Orioles,Toronto Blue Jays,Max Scherzer,9,Rogers Centre,69.0,1.7,Poor,4.1,1.5,5.5,1.5,4.1,5.9,2.0,66.74000000000001,4.7845567,101.0,3.6,4.1,3.5,3.4,Weather + Pitcher vulnerability,True
250,Ezequiel Tovar,Colorado Rockies,Detroit Tigers,Framber Valdez,9,Comerica Park,100.0,1.7,Poor,3.8,2.9,3.2,2.9,5.5,6.6,2.0,73.94,6.2758471,96.0,3.6,9.7,6.7,3.1,Weather + Ballpark,True
251,Nico Hoerner,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,6,Wrigley Field,107.0,1.6,Poor,3.7,2.6,1.5,2.6,5.8,6.7,5.0,74.3,9.5069763,124.0,3.6,4.2,5.1,4.3,Weather + Ballpark,True
252,Jonah Cox,San Francisco Giants,San Diego Padres,Robbie Ray,4,Oracle Park,139.0,1.6,Poor,1.4,4.6,2.9,4.6,7.3,6.2,7.0,66.02,15.6585492,280.0,3.6,5.6,3.8,1.5,Ballpark + Lineup context,True
253,Christian Vázquez,Houston Astros,Tampa Bay Rays,Drew Rasmussen,9,Tropicana Field,107.0,1.6,Poor,2.0,7.9,1.9,7.9,5.8,6.5,2.0,81.5,2.8583065999999997,141.0,3.6,4.6,1.6,1.4,Pitch-type matchup + Weather,True
254,Grant McCray,San Francisco Giants,San Diego Padres,Robbie Ray,8,Oracle Park,139.0,1.5,Poor,2.0,2.6,2.9,2.6,7.3,6.2,3.0,66.02,15.6585492,280.0,8.5,6.4,1.6,1.4,Recent power + Ballpark,True
255,Brandon Marsh,Philadelphia Phillies,Atlanta Braves,Chris Sale,7,Truist Park,100.0,1.5,Poor,2.0,8.4,1.2,8.4,5.5,6.7,4.0,81.14,9.4448392,176.0,3.6,9.6,7.9,5.4,Pitch-type matchup + Weather,True
256,Ian Happ,Chicago Cubs,Pittsburgh Pirates,Wilber Dotel,5,Wrigley Field,107.0,1.5,Poor,1.4,6.3,1.5,6.3,5.8,6.7,6.0,74.3,9.5069763,124.0,3.6,6.6,2.7,4.9,Weather + Pitch-type matchup,True
257,Brandon Valenzuela,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,8,Rogers Centre,69.0,1.4,Avoid,3.6,4.1,3.5,4.1,4.1,5.9,3.0,66.74000000000001,4.7845567,101.0,3.6,3.6,5.8,6.0,Weather + Pitch-type matchup,True
258,JJ Bleday,Cincinnati Reds,Milwaukee Brewers,Dustin May,4,American Family Field,88.0,1.4,Avoid,1.4,6.4,2.5,6.4,5.0,6.7,7.0,73.22,9.5069763,146.0,3.6,7.9,3.9,4.0,Lineup context + Weather,True
259,TJ Friedl,Cincinnati Reds,Milwaukee Brewers,Dustin May,8,American Family Field,88.0,1.4,Avoid,2.0,3.6,2.5,3.6,5.0,6.7,3.0,73.22,9.5069763,146.0,9.5,4.2,6.2,4.9,Recent power + Weather,True
260,Connor Norby,Colorado Rockies,Detroit Tigers,Framber Valdez,2,Comerica Park,100.0,1.3,Avoid,1.1,2.0,3.2,2.0,5.5,6.6,9.0,73.94,6.2758471,96.0,8.8,9.7,9.3,4.7,Lineup context + Recent power,True
261,Thomas Saggese,St. Louis Cardinals,Chicago White Sox,Anthony Kay,7,Busch Stadium,70.0,1.3,Avoid,1.4,4.7,5.2,4.7,4.2,5.5,4.0,,,,3.6,6.1,4.0,7.6,Weather + Pitcher vulnerability,True
262,Bryson Stott,Philadelphia Phillies,Atlanta Braves,Chris Sale,6,Truist Park,100.0,1.3,Avoid,2.7,3.9,1.2,3.9,5.5,6.7,5.0,81.14,9.4448392,176.0,3.6,5.2,2.3,6.8,Weather + Ballpark,True
263,Cole Carrigg,Colorado Rockies,Detroit Tigers,Framber Valdez,5,Comerica Park,100.0,1.2,Avoid,1.4,2.5,3.2,2.5,5.5,6.6,6.0,73.94,6.2758471,96.0,7.2,5.3,2.4,2.4,Recent power + Weather,True
264,Will Banfield,Cincinnati Reds,Milwaukee Brewers,Dustin May,7,American Family Field,88.0,1.2,Avoid,3.3,1.5,2.5,1.5,5.0,6.7,4.0,73.22,9.5069763,146.0,3.6,1.4,6.7,1.3,Weather + Ballpark,True
265,Rafael Marchán,Philadelphia Phillies,Atlanta Braves,Chris Sale,9,Truist Park,100.0,1.2,Avoid,2.0,6.1,1.2,6.1,5.5,6.7,2.0,81.14,9.4448392,176.0,3.6,3.3,1.2,1.1,Weather + Pitch-type matchup,True
266,Victor Caratini,Minnesota Twins,Cleveland Guardians,Parker Messick,8,Target Field,113.0,1.1,Avoid,1.1,3.4,3.9,3.4,6.1,5.5,3.0,,,,3.6,3.0,5.7,6.2,Ballpark + Weather,True
267,Drew Cavanaugh,San Francisco Giants,San Diego Padres,Robbie Ray,7,Oracle Park,139.0,1.1,Avoid,1.1,1.5,2.9,1.5,7.3,6.2,4.0,66.02,15.6585492,280.0,3.6,4.2,5.0,1.9,Ballpark + Weather,True
268,Myles Straw,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,9,Rogers Centre,69.0,1.1,Avoid,3.2,1.5,3.5,1.5,4.1,5.9,2.0,66.74000000000001,4.7845567,101.0,3.6,2.6,2.2,1.5,Weather + Ballpark,True
269,Walker Jenkins,Minnesota Twins,Cleveland Guardians,Parker Messick,9,Target Field,113.0,1.0,Avoid,1.4,1.5,3.9,1.5,6.1,5.5,2.0,,,,3.6,3.7,4.7,3.9,Ballpark + Weather,True
270,Justin Crawford,Philadelphia Phillies,Atlanta Braves,Chris Sale,8,Truist Park,100.0,1.0,Avoid,2.9,1.5,1.2,1.5,5.5,6.7,3.0,81.14,9.4448392,176.0,3.6,1.4,9.0,6.1,Weather + Ballpark,True
